"filename", "language", "JSON", "TypeScript JSX", "JavaScript", "Markdown", "JSON with Comments", "TypeScript", "comment", "blank", "total"
"c:\dev\GoalGuide\README.md", "Markdown", 0, 0, 0, 3, 0, 0, 0, 3, 6
"c:\dev\GoalGuide\backend\models\Goal.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 4, 21
"c:\dev\GoalGuide\backend\models\Onboarding.js", "JavaScript", 0, 0, 9, 0, 0, 0, 1, 3, 13
"c:\dev\GoalGuide\backend\models\User.js", "JavaScript", 0, 0, 13, 0, 0, 0, 1, 5, 19
"c:\dev\GoalGuide\backend\package.json", "JSON", 26, 0, 0, 0, 0, 0, 0, 1, 27
"c:\dev\GoalGuide\backend\routes\auth.js", "JavaScript", 0, 0, 41, 0, 0, 0, 11, 13, 65
"c:\dev\GoalGuide\backend\routes\goals.js", "JavaScript", 0, 0, 22, 0, 0, 0, 2, 5, 29
"c:\dev\GoalGuide\backend\routes\onboarding.js", "JavaScript", 0, 0, 36, 0, 0, 0, 5, 8, 49
"c:\dev\GoalGuide\backend\server.js", "JavaScript", 0, 0, 23, 0, 0, 0, 6, 10, 39
"c:\dev\GoalGuide\frontend\App.tsx", "TypeScript JSX", 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\dev\GoalGuide\frontend\README.md", "Markdown", 0, 0, 0, 31, 0, 0, 0, 20, 51
"c:\dev\GoalGuide\frontend\api\axiosInstance.js", "JavaScript", 0, 0, 26, 0, 0, 0, 2, 4, 32
"c:\dev\GoalGuide\frontend\app.json", "JSON", 35, 0, 0, 0, 0, 0, 0, 1, 36
"c:\dev\GoalGuide\frontend\app\IntroScreen.tsx", "TypeScript JSX", 0, 56, 0, 0, 0, 0, 5, 7, 68
"c:\dev\GoalGuide\frontend\app\_layout.tsx", "TypeScript JSX", 0, 11, 0, 0, 0, 0, 0, 2, 13
"c:\dev\GoalGuide\frontend\app\createAccount.tsx", "TypeScript JSX", 0, 74, 0, 0, 0, 0, 3, 9, 86
"c:\dev\GoalGuide\frontend\app\index.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\dev\GoalGuide\frontend\app\login.tsx", "TypeScript JSX", 0, 63, 0, 0, 0, 0, 0, 12, 75
"c:\dev\GoalGuide\frontend\app\main.tsx", "TypeScript JSX", 0, 14, 0, 0, 0, 0, 1, 4, 19
"c:\dev\GoalGuide\frontend\app\onboarding.tsx", "TypeScript JSX", 0, 80, 0, 0, 0, 0, 1, 10, 91
"c:\dev\GoalGuide\frontend\babel.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\dev\GoalGuide\frontend\components\Collapsible.tsx", "TypeScript JSX", 0, 37, 0, 0, 0, 0, 0, 5, 42
"c:\dev\GoalGuide\frontend\components\ExternalLink.tsx", "TypeScript JSX", 0, 20, 0, 0, 0, 0, 2, 3, 25
"c:\dev\GoalGuide\frontend\components\HelloWave.tsx", "TypeScript JSX", 0, 31, 0, 0, 0, 0, 0, 7, 38
"c:\dev\GoalGuide\frontend\components\ParallaxScrollView.tsx", "TypeScript JSX", 0, 69, 0, 0, 0, 0, 0, 8, 77
"c:\dev\GoalGuide\frontend\components\ThemedText.tsx", "TypeScript JSX", 0, 55, 0, 0, 0, 0, 0, 6, 61
"c:\dev\GoalGuide\frontend\components\ThemedView.tsx", "TypeScript JSX", 0, 10, 0, 0, 0, 0, 0, 5, 15
"c:\dev\GoalGuide\frontend\components\__tests__\ThemedText-test.tsx", "TypeScript JSX", 0, 7, 0, 0, 0, 0, 0, 4, 11
"c:\dev\GoalGuide\frontend\components\navigation\StackNavigator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 31, 0, 31
"c:\dev\GoalGuide\frontend\components\navigation\TabBarIcon.tsx", "TypeScript JSX", 0, 6, 0, 0, 0, 0, 1, 3, 10
"c:\dev\GoalGuide\frontend\config.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 1, 3
"c:\dev\GoalGuide\frontend\constants\Colors.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 4, 3, 27
"c:\dev\GoalGuide\frontend\hooks\useColorScheme.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\dev\GoalGuide\frontend\hooks\useColorScheme.web.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 5, 1, 9
"c:\dev\GoalGuide\frontend\hooks\useThemeColor.ts", "TypeScript", 0, 0, 0, 0, 0, 14, 4, 5, 23
"c:\dev\GoalGuide\frontend\package.json", "JSON", 53, 0, 0, 0, 0, 0, 0, 1, 54
"c:\dev\GoalGuide\frontend\scripts\reset-project.js", "JavaScript", 0, 0, 57, 0, 0, 0, 5, 12, 74
"c:\dev\GoalGuide\frontend\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 17, 0, 0, 1, 18
"c:\dev\GoalGuide\frontend\updateConfig.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 6, 22
"c:\dev\GoalGuide\package.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 1, 6
"Total", "-", 119, 546, 268, 34, 17, 38, 90, 199, 1311
